<<<<<<< HEAD
60 0.0123
54 0.0068
56 0.0043
24 0.0033
8 0.0029
34 0.0035
21 0.0051
12 0.0133
83 0.0094
22 0.0048
27 0.0037
53 0.0038
19 0.0093
32 0.0056
74 0.005
87 0.0047
87 0.0056
168 0.0069
72 0.0047
77 0.0048
9 0.0032
102 0.0054
48 0.0043
69 0.0049
101 0.0083
74 0.0056
33 0.0036
74 0.0062
40 0.0056
84 0.0076
58 0.0061
34 0.0059
22 0.0044
72 0.0089
32 0.0061
34 0.009
30 0.0063
42 0.0063
52 0.0068
18 0.0055
72 0.0068
44 0.0086
42 0.0069
84 0.0075
70 0.0066
39 0.0061
83 0.0071
52 0.0066
20 0.0094
86 0.0075
37 0.0057
144 0.0388
86 0.009
124 0.0107
63 0.0069
26 0.0054
55 0.0126
114 0.0112
67 0.0093
34 0.0085
110 0.009
73 0.0071
62 0.0068
74 0.0073
52 0.006
53 0.0093
53 0.0077
76 0.0101
36 0.0055
58 0.0058
36 0.0054
41 0.0089
87 0.0228
57 0.0054
14 0.0018
69 0.0031
77 0.0036
95 0.0039
83 0.0034
82 0.0039
64 0.0044
42 0.0049
28 0.0089
84 0.0089
25 0.0045
86 0.0057
108 0.006
66 0.0073
52 0.0059
95 0.011
49 0.005
109 0.0065
109 0.0087
38 0.005
112 0.0065
50 0.0054
49 0.0046
103 0.006
23 0.0023
54 0.0053
26 0.0051
55 0.0034
61 0.0029
30 0.0028
25 0.0021
74 0.0036
28 0.0025
26 0.0023
77 0.0034
74 0.0036
35 0.0025
18 0.0024
9 0.0017
20 0.0027
16 0.0041
52 0.009
148 0.0087
82 0.0057
45 0.0045
78 0.0057
69 0.0112
83 0.0046
66 0.0034
20 0.0027
61 0.003
47 0.0028
70 0.0032
32 0.0026
62 0.0029
84 0.0035
93 0.0078
84 0.0051
44 0.0028
52 0.0028
89 0.0035
103 0.0037
31 0.0026
58 0.0028
27 0.0063
65 0.004
23 0.003
32 0.0043
48 0.0033
34 0.0028
44 0.0026
53 0.0073
24 0.0064
86 0.0092
64 0.0074
77 0.0058
32 0.0072
68 0.0155
76 0.0088
37 0.0047
93 0.008
18 0.0037
70 0.0048
129 0.0069
39 0.0044
99 0.0074
48 0.0067
18 0.0039
53 0.0041
35 0.0046
46 0.0044
123 0.0068
56 0.0066
55 0.0089
27 0.006
34 0.0077
70 0.0079
99 0.0086
34 0.0063
37 0.0063
29 0.008
38 0.0066
37 0.0065
62 0.0069
5 0.0037
58 0.0069
85 0.0079
47 0.006
87 0.0071
125 0.0352
31 0.0064
114 0.0103
56 0.0071
23 0.0045
106 0.0092
34 0.0087
68 0.0077
12 0.0039
57 0.0069
26 0.0057
43 0.0086
50 0.0055
102 0.0177
67 0.0078
66 0.0076
32 0.0067
70 0.0069
48 0.005
85 0.0057
35 0.0035
34 0.0046
10 0.0037
98 0.0093
75 0.008
67 0.006
55 0.0054
49 0.0049
28 0.0041
87 0.0101
58 0.0103
31 0.0049
80 0.0037
95 0.0043
53 0.003
109 0.0117
46 0.0028
99 0.0038
109 0.0041
58 0.0076
53 0.0038
54 0.0029
38 0.0027
69 0.0035
36 0.0021
96 0.0043
20 0.0024
58 0.003
126 0.0047
31 0.0064
35 0.0039
48 0.0036
72 0.0036
78 0.0036
11 0.0017
30 0.0023
51 0.0027
85 0.0035
69 0.0031
11 0.0017
19 0.0022
14 0.0032
78 0.0069
33 0.0031
27 0.0025
93 0.0044
21 0.0024
131 0.0051
77 0.005
58 0.0032
102 0.0042
62 0.005
50 0.0054
34 0.0024
34 0.002
23 0.0019
33 0.0029
51 0.007
19 0.0044
73 0.0082
56 0.0045
78 0.0051
50 0.0031
26 0.0024
65 0.0033
121 0.0073
56 0.0032
152 0.0072
80 0.0052
50 0.0032
32 0.0028
31 0.0039
61 0.0042
43 0.0037
59 0.0037
115 0.0054
67 0.0028
20 0.0059
53 0.0063
31 0.0053
41 0.0026
57 0.0026
84 0.0031
54 0.0023
83 0.0026
90 0.0032
23 0.0015
94 0.003
36 0.0018
57 0.0025
33 0.0021
87 0.0036
39 0.0037
26 0.0041
24 0.0016
93 0.0037
90 0.003
50 0.0023
83 0.0029
58 0.0056
25 0.0066
63 0.0062
75 0.0044
35 0.0031
111 0.0059
96 0.0049
92 0.0078
42 0.0041
19 0.0089
29 0.0048
26 0.003
13 0.0021
13 0.0039
79 0.0051
94 0.0051
114 0.004
42 0.0022
141 0.0038
47 0.0023
22 0.0036
7 0.0017
54 0.0044
107 0.0052
60 0.0027
59 0.0024
65 0.0027
108 0.0033
40 0.0021
67 0.0055
82 0.0036
38 0.0035
37 0.0039
36 0.0029
51 0.0079
17 0.0032
128 0.0091
38 0.0051
46 0.0052
32 0.0049
72 0.0061
101 0.0068
40 0.0032
32 0.0048
52 0.003
15 0.0015
41 0.0039
98 0.0038
82 0.0031
54 0.0025
43 0.0021
48 0.0021
51 0.0024
41 0.004
64 0.0031
44 0.0023
33 0.0022
41 0.0021
66 0.0027
114 0.0041
23 0.0018
64 0.0046
31 0.0038
18 0.0261
93 0.005
41 0.0026
70 0.0027
125 0.004
77 0.0029
25 0.0015
73 0.0054
87 0.0035
67 0.0028
53 0.0024
125 0.0039
73 0.0029
34 0.0017
78 0.0028
55 0.0023
80 0.0027
45 0.0035
57 0.0053
67 0.0055
77 0.0041
40 0.0037
6 0.0023
75 0.0028
109 0.0038
39 0.0021
48 0.0023
41 0.002
73 0.0028
25 0.0027
36 0.0021
79 0.003
34 0.0021
22 0.0021
31 0.0026
5 0.0023
42 0.0034
60 0.0025
11 0.0017
111 0.0043
41 0.0022
62 0.0054
47 0.0026
35 0.0018
24 0.0045
20 0.0066
30 0.0055
17 0.0033
78 0.0049
85 0.0036
79 0.0058
70 0.0028
21 0.0019
134 0.0041
38 0.0036
64 0.0046
35 0.002
36 0.0027
37 0.0026
48 0.0037
59 0.0027
106 0.0095
73 0.0069
76 0.0064
77 0.0065
83 0.0063
31 0.0048
36 0.0039
118 0.0081
22 0.0036
102 0.006
66 0.0063
4 0.0029
39 0.0048
68 0.0054
76 0.003
71 0.0025
61 0.0024
95 0.0035
46 0.0041
25 0.0018
44 0.0025
25 0.0016
70 0.0027
33 0.0024
14 0.0014
18 0.0021
37 0.0018
51 0.0023
57 0.0025
17 0.0014
90 0.0059
71 0.0029
31 0.0023
50 0.0023
60 0.0024
80 0.0028
87 0.0024
29 0.002
23 0.0015
63 0.0027
25 0.0032
35 0.0037
30 0.0054
10 0.0022
88 0.0036
143 0.0063
28 0.003
58 0.0027
137 0.0045
67 0.0033
69 0.0024
72 0.0028
16 0.0014
65 0.0026
8 0.0014
18 0.002
99 0.0033
65 0.0053
57 0.0027
49 0.0024
79 0.0048
79 0.0049
99 0.0035
28 0.0022
74 0.0085
55 0.0038
28 0.002
106 0.0037
49 0.002
28 0.0019
41 0.0021
27 0.0021
58 0.0039
25 0.0016
11 0.0013
51 0.0022
84 0.0026
27 0.0018
17 0.0014
98 0.003
65 0.0024
95 0.0045
91 0.003
23 0.0032
16 0.0024
111 0.0042
120 0.0033
64 0.0023
21 0.0019
3 0.001
71 0.0025
72 0.0024
64 0.0023
62 0.0022
27 0.0018
54 0.0037
44 0.0022
65 0.0024
40 0.002
95 0.0031
32 0.002
95 0.003
21 0.0018
22 0.0014
72 0.0024
32 0.0018
25 0.0013
29 0.0019
47 0.0022
46 0.0038
89 0.0023
50 0.0022
61 0.0024
117 0.0036
61 0.0022
18 0.0017
54 0.002
7 0.0012
33 0.002
37 0.0015
57 0.0028
44 0.0107
53 0.0038
39 0.0047
57 0.0036
16 0.002
53 0.0032
23 0.0019
68 0.0036
74 0.0041
88 0.0034
41 0.0039
81 0.0043
62 0.0037
42 0.0022
34 0.0017
23 0.0014
72 0.0063
44 0.0041
17 0.0021
51 0.0042
118 0.0042
26 0.0032
155 0.0045
83 0.0029
45 0.0028
53 0.0034
20 0.0032
58 0.0023
47 0.0021
99 0.0047
48 0.0025
67 0.0026
118 0.0037
36 0.0016
36 0.0015
41 0.0021
10 0.0011
67 0.0024
56 0.0022
55 0.0021
50 0.0022
117 0.0033
39 0.0019
65 0.0025
41 0.0019
72 0.0026
65 0.0023
42 0.0019
50 0.002
47 0.0029
39 0.0037
61 0.0041
38 0.0024
46 0.0022
56 0.0037
32 0.0022
54 0.0021
114 0.0036
39 0.0019
